"Ingredient","Unit"
"Corona","bottle"
"Creme de Cassis","oz"
"Creme de Cassis","part"
"Creme de Cassis","fill"
"Sugar syrup","tsp"
"Sugar syrup","oz"
"Sugar syrup","dash"
"Ouzo","part"
"Ouzo","oz"
"Asafoetida","inch"
"Lemon peel","fill"
"Lemon peel","count"
"Lemon peel","slice"
"Lemon peel","tblsp"
"Lemon peel","inch"
"Butterscotch schnapps","oz"
"Butterscotch schnapps","part"
"Lillet Blanc","oz"
"Tennessee whiskey","oz"
"Coconut rum","oz"
"Apple schnapps","part"
"Curacao","dash"
"Gin","oz"
"Gin","ml"
"Gin","fill"
"Gin","part"
"Peachtree schnapps","oz"
"Vodka","oz"
"Vodka","fill"
"Vodka","bottle"
"Vodka","part"
"Vodka","count"
"Vodka","cup"
"Vodka","ml"
"Vodka","liter"
"Pineapple Syrup","oz"
"Absolut Vodka","oz"
"Banana","count"
"Banana","oz"
"Banana","piece"
"Bailey's irish cream","part"
"Bailey's irish cream","count"
"Bailey's irish cream","fill"
"Bailey's irish cream","oz"
"Absolut Kurant","oz"
"Apple cider","liter"
"Apple cider","oz"
"Godiva liqueur","oz"
"Godiva liqueur","cup"
"Maple syrup","oz"
"Club soda","fill"
"Club soda","dash"
"Club soda","oz"
"Club soda","ml"
"Blueberry schnapps","fill"
"Angostura bitters","dash"
"Angostura bitters","drop"
"Sugar Syrup","oz"
"Sugar Syrup","dash"
"Whipped cream","fill"
"Whipped cream","count"
"Whipped cream","tblsp"
"Lager","oz"
"Lager","bottle"
"Lager","ml"
"Pepsi Cola","ml"
"Pepsi Cola","part"
"Lemon Juice","oz"
"Lemon Juice","ml"
"Food coloring","drop"
"Food coloring","gr"
"Food coloring","tblsp"
"Surge","glass"
"Surge","liter"
"Surge","oz"
"Mango","count"
"Cranberry vodka","oz"
"Red wine","count"
"Red wine","liter"
"Red wine","ml"
"Red wine","fill"
"Red wine","oz"
"Red wine","bottle"
"Red wine","part"
"gin","oz"
"Jagermeister","oz"
"Jagermeister","part"
"Lime","count"
"Lime","piece"
"Lime","slice"
"Lime","fill"
"Heavy cream","oz"
"Creme de Mure","oz"
"Orange bitters","dash"
"Cherry brandy","fill"
"Cherry brandy","tsp"
"Cherry brandy","oz"
"Cherry brandy","part"
"Half-and-half","cup"
"Half-and-half","oz"
"Sugar","gr"
"Sugar","tsp"
"Sugar","cup"
"Sugar","fill"
"Sugar","tblsp"
"Sugar","piece"
"Sugar","count"
"Sugar","ml"
"Sugar","inch"
"Cayenne pepper","tsp"
"Whipped Cream","fill"
"Fruit","slice"
"Fruit","piece"
"Fruit","cup"
"Egg","piece"
"Egg","count"
"Egg","cup"
"Lemon juice","oz"
"Lemon juice","tsp"
"Lemon juice","dash"
"Lemon juice","tblsp"
"Lemon juice","ml"
"Lemon juice","part"
"Lemon juice","bottle"
"Lemon juice","drop"
"Lemon juice","fill"
"Lemon juice","cup"
"Campari","oz"
"Hot Damn","oz"
"Gold tequila","oz"
"Blackcurrant cordial","dash"
"Tea","oz"
"Tea","liter"
"Tea","fill"
"Tea","cup"
"Chocolate milk","oz"
"Pisang Ambon","part"
"Maraschino cherry","count"
"Lemon-lime soda","dash"
"Lemon-lime soda","fill"
"Lemon-lime soda","oz"
"Bitters","slice"
"Bitters","dash"
"Pisco","oz"
