,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
418,Quarter Deck Cocktail,42686.62751,11985,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,Cocktail glass,,Light rum,,,,,,,Sherry,Lime,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1.5,,,,,,,0.33 oz cream ,0.5 count, , , , , ,,
419,Queen Bee,42686.62956,11987,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,Cocktail glass,,Coffee brandy,,,,,,,Lime vodka,Sherry,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,0.5 oz ,0.5 oz cream , , , , , ,,
420,Queen Charlotte,42686.6302,11989,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,Collins glass,,Red wine,,,,,,,Grenadine,Lemon-lime soda,,,,,,,"Pour red wine and grenadine into a collins glass over ice count. Fill with lemon-lime soda, stir, and serve.",2 oz ,,,,,,,1 oz ,"
","
","
","
","
","
",,
421,Queen Elizabeth,42686.63124,11991,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,Cocktail glass,,Dry Vermouth,,,,,,,Gin,Benedictine,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",0.5 oz ,,,,,,,0.5 oz ,0.5 tsp , , , , , ,,
422,Quentin,42686.63192,11993,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,Cocktail glass,,Dark rum,,,,,,,Kahlua,Light cream,Nutmeg,,,,,,"In a shaker half-filled with ice count, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",0.5 oz ,,,,,,,0.5 oz ,1 oz ,0.125 tsp grated , , , , , ,
423,Quick Fuck,42686.63257,13198,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,Shot glass,,Kahlua,,,,,,,Midori melon liqueur,Bailey's irish cream,,,,,,,"In a shot glass add 0.33 Kahlua first. Then 0.33 Miduri, topping it off with a 0.33 bailey's irish cream",1 part ,,,,,,,1 part ,1 part , , , , , ,,
424,Quick-sand,42686.63348,15761,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg,Highball glass,,Black Sambuca,,,,,,,Orange juice,,,,,,,,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",25 ml ,,,,,,,250 ml , , , , , ,,,
425,Radioactive Long Island Iced Tea,42971.39713,16984,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg,Collins Glass,,Rum,,,,,,,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,Pour all ingredients over ice in a very tall glass. Sip cautiously.,1 oz , , , , ,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz , ,
426,Radler,42986.73837,16031,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,Highball glass,,Beer,,,,,,,7-Up,,,,,,,,"Pour beer into large mug, slowly add the 7-up (or Sprite).",12 oz ,,,,,,,12 oz , , , , , ,,,
427,Rail Splitter,42249.68588,12630,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,Highball glass,,Sugar syrup,,,,,,,Lemon juice,Ginger ale,,,,,,,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,2 tsp ,,,,,,,"
", , , , , ,,,
