,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
0,'57 Chevy with a White License Plate,42569.95074,14029,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,,Creme de Cacao,,,,,,,Vodka,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,1 oz white ,,,,,,,1 oz , , , , , ,,,
1,1-900-FUK-MEUP,42569.93546,15395,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,,Absolut Kurant,,,,,,,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,Shake ingredients in a mixing tin filled with ice count. Strain into a rocks glass.,0.5 oz , , , , ,,,0.25 oz ,0.25 oz ,0.25 oz ,0.25 oz ,0.25 oz ,0.5 oz ,0.25 oz , ,
2,110 in the shade,42403.61941,15423,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,,Lager,,,,,,,Tequila,,,,,,,,Drop shooter in glass. Fill with beer,16 oz ,,,,,,,1.5 oz , , , , , ,,,
3,151 Florida Bushwacker,42569.93661,14588,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,,Malibu rum,,,,,,,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,0.5 oz , , , , ,,,0.5 oz ,0.5 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , ,
4,155 Belmont,42648.52532,15346,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,,Dark rum,,,,,,,Light rum,Vodka,Orange juice,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.,1 shot ,,,,,,,2 shots ,1 shot ,1 shot , , , , , ,
5,24k nightmare,42569.93863,17060,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,,Goldschlager,,,,,,,Jagermeister,Rumple Minze,151 proof rum,,,,,,"Add over ice,shake and pour.",0.5 oz ,,,,,,,0.5 oz ,0.5 oz ,0.5 oz Bacardi , , , , , ,
6,252,42569.93938,15288,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,,151 proof rum,,,,,,,Wild Turkey,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick",0.5 shot Bacardi ,,,,,,,0.5 shot , , , , , ,,,
7,3 Wise Men,42569.94071,13899,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,,Jack Daniels,,,,,,,Johnnie Walker,Jim Beam,,,,,,,put them them in a glass... and slam it to tha head.,0.33 oz ,,,,,,,0.33 oz ,0.33 oz , , , , , ,,
8,3-Mile Long Island Iced Tea,42613.82144,15300,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,,Gin,,,,,,,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,Fill 14oz glass with ice and alcohol. Fill 0.66 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,0.5 oz , , , , ,,,0.5 oz ,0.5 oz ,0.5 oz ,0.5 oz ,fill,1 dash ,1 wedge , ,
9,410 Gone,42613.82206,13581,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,,Peach Vodka,,,,,,,Coca-Cola,,,,,,,,,2 oz,,,,,,,,,,,,,,,
10,50/50,42489.40412,14598,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,,Vanilla vodka,,,,,,,Grand Marnier,Orange juice,,,,,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,0.5 oz ,,,,,,,1 splash ,Fill with , , , , , ,,
11,501 Blue,42488.79973,17105,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,,Blue Curacao,,,,,,,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,Mix equal amounts into a glass with ice.,"fill
",,,,,,,"fill
","fill
","fill
","fill
","
","
","
",,
12,69 Special,42613.82286,13940,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,,Gin,,,,,,,7-Up,Lemon juice,,,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",2 oz dry ,,,,,,,4 oz ,0.75 oz , , , , , ,,
13,747,42613.81141,14229,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Shot glass,,Kahlua,,,,,,,Bailey's irish cream,Frangelico,,,,,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",0.33 part ,,,,,,,0.33 part ,0.33 part , , , , , ,,
14,9 0.5 Weeks,42613.82525,16108,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,,Absolut Citron,,,,,,,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,2 oz ,,,,,,,0.5 oz ,1 splash ,1 oz , , , , , ,
15,A Day at the Beach,42403.65826,15200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Highball glass,,Coconut rum,,,,,,,Amaretto,Orange juice,Grenadine,,,,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",1 oz ,,,,,,,0.5 oz ,4 oz ,0.5 oz , , , , , ,
16,A Furlong Too Late,42613.82368,11000,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Highball glass,,Light rum,,,,,,,Ginger beer,Lemon peel,,,,,,,Pour the rum and ginger beer into a highball glass almost filled with ice count. Stir well. Garnish with the lemon twist.,2 oz ,,,,,,,4 oz ,1 twist of , , , , , ,,
17,A Gilligan's Island,42488.80065,16943,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins glass,,Vodka,,,,,,,Peach schnapps,Orange juice,Cranberry juice,,,,,,"Shaken, not stirred!",1 oz ,,,,,,,1 oz ,3 oz ,3 oz , , , , , ,
18,A Night In Old Mandalay,42489.40486,11001,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Highball glass,,Light rum,,,,,,,Anejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,"In a shaker half-filled with ice count, combine the light rum, anejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice count. Top with the ginger ale. Garnish with the lemon twist.",1 oz , , ,,,,,1 oz ,1 oz ,0.5 oz ,3 oz ,1 twist of , , , ,
19,A Piece of Ass,42614.40899,16405,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Highball glass,,Amaretto,,,,,,,Southern Comfort,Ice,Sour mix,,,,,,Put ice in glass. Pour in shots. Fill with Sour Mix.,1 shot ,,,,,,,1 shot ,"1 count
","fill
","
","
","
","
","
",
20,A Splash of Nash,42613.81251,14564,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball glass,,Cranberry juice,,,,,,,Soda water,Midori melon liqueur,Creme de Banane,,,,,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,2 oz ,,,,,,,2 oz ,0.5 oz ,0.5 oz , , , , , ,
21,A True Amaretto Sour,42613.82606,17005,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned glass,,Amaretto,,,,,,,Lemon,Ice,Maraschino cherry,,,,,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 0.5 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",1 jigger ,,,,,,,0.5 count,"fill
",1count, , , , ,,
22,A midsummernight dream,42488.80199,15675,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,,Vodka,,,,,,,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",2 oz ,"
",,,,,,1 oz ,1 tsp ,5,"fill
","
","
","
","
",
23,A. J.,42615.47012,11002,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Cocktail glass,,Applejack,,,,,,,Grapefruit juice,,,,,,,,"Shake ingredients with ice, strain into a cocktail glass, and serve.",0.5 oz ,,,,,,,1 oz , , , , , ,,,
24,A.D.M. (After Dinner Mint),42613.8287,14560,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,,White Creme de Menthe,,,,,,,Southern Comfort,Vodka,Hot chocolate,,,,,,shake vigorously,0.5 oz ,,,,,,,0.75 oz ,0.5 oz ,Fill with , , , , , ,
25,A1,42985.90427,17222,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,,Gin,,,,,,,Grand Marnier,Lemon Juice,Grenadine,,,,,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",0.75 shot ,,,,,,,1 Shot ,0.25 Shot,0.125 Shot,"
","
","
",,,
26,ABC,42613.81398,13501,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot glass,,Amaretto,,,,,,,Bailey's irish cream,Cognac,,,,,,,Layered in a shot glass.,0.33 count,,,,,,,0.33 count,0.33 count, , , , , ,,
27,ACID,42689.47821,14610,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot glass,,151 proof rum,,,,,,,Wild Turkey,,,,,,,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,1 oz Bacardi ,,,,,,,1 oz , , , , , ,,,
28,AT&T,42849.91689,13938,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,,Absolut Vodka,,,,,,,Gin,Tonic water,,,,,,,"Pour Vodka and Gin over ice, add Tonic and Stir",1 oz ,,,,,,,1 oz ,4 oz , , , , , ,,
29,Abbey Cocktail,42615.47185,11003,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Cocktail glass,,Gin,,,,,,,Orange bitters,Orange,Cherry,,,,,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,0.5 oz ,,,,,,,1 dash ,0.25 count,1, , , , , ,
30,Abbey Martini,42985.90976,17223,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail glass,,Gin,,,,,,,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",2 shots ,,,,,,,1 shot ,1 shot ,3 dashes ,"
","
","
",,,
31,Abilene,42489.40584,11004,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Highball glass,,Dark rum,,,,,,,Peach nectar,Orange juice,,,,,,,Pour all of the ingredients into a highball glass almost filled with ice count. Stir well.,0.5 oz ,,,,,,,2 oz ,3 oz , , , , , ,,
32,Absinthe #2,42613.80089,12790,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,,Vodka,,,,,,,Sugar,Anise,Licorice root,Wormwood,,,,,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",1 bottle , ,,,,,,50 gr ,50 ml pure ,1 tblsp ,1, , , , ,
33,Absolut Evergreen,42615.4839,14374,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,,Absolut Citron,,,,,,,Pisang Ambon,Ice,Bitter lemon,,,,,,"Mix, pour over ice and top up with Bitter Lemon.",0.66 part ,,,,,,,0.33 part ,"3 count
",1 slice,"
","
","
","
","
",
34,Absolut Sex,42613.81523,14360,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Old-fashioned glass,,Absolut Kurant,,,,,,,Midori melon liqueur,Cranberry juice,Sprite,,,,,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",0.75 oz ,,,,,,,0.75 oz ,1 oz ,1 splash , , , , , ,
35,Absolut Stress #2,42615.47483,15597,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,,Absolut Vodka,,,,,,,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,Mix well. Garnish with Orange and Cherry. Enjoy,0.5 oz , ,,,,,,0.5 oz ,0.5 oz ,0.5 oz ,0.5 oz , , , , ,
36,Absolut Summertime,42613.82942,14107,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,,Absolut Citron,,,,,,,Sweet and sour,Sprite,Soda water,Lemon,,,,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,0.5 oz , ,,,,,,0.75 oz ,0.5 oz ,3 oz ,1 slice , , , , ,
37,Absolut limousine,42614.41023,14372,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,,Absolut Citron,,,,,,,Lime juice,Ice,Tonic water,,,,,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,44960,,,,,,,0.33 count,Fill with ,Top it up with , , , , , ,
38,Absolutely Cranberry Smash,42615.47551,15024,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Cocktail glass,,Absolut Vodka,,,,,,,Cranberry juice,Ginger ale,Ice,,,,,,Stir ingredients together. Serve over ice.,2 oz ,,,,,,,4 oz ,2 oz ,fill, , , , , ,
39,Absolutely Fabulous,42985.91359,17224,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,,Vodka,,,,,,,Cranberry Juice,Champagne,,,,,,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,1 shot ,,,,,,,2 shots ,Top up with,"
","
","
","
",,,
40,Absolutly Screwed Up,42613.83019,16134,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Collins glass,,Absolut Citron,,,,,,,Orange juice,Triple sec,Ginger ale,,,,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",1 shot ,,,,,,,1 shot ,1 shot ,Fill to top , , , , , ,
41,Acapulco,42615.47657,11005,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned glass,,Light rum,,,,,,,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice count. Add the sprig of mint and serve.,0.5 oz , , ,,,,,0.5 tsp ,1 tblsp ,1 tsp ,1,1, , , ,
42,Ace,42985.92021,17225,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,,Gin,,,,,,,Grenadine,Heavy cream,Milk,Egg White,,,,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,2 shots ,,,,,,,0.5 shot ,0.5 shot ,0.5 shot ,0.5 count,"
","
",,,
43,Adam,42615.47881,11006,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Cocktail glass,,Dark rum,,,,,,,Lemon juice,Grenadine,,,,,,,"In a shaker half-filled with ice count, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1 tsp , , , , , ,,
44,Adam & Eve,42985.92914,17226,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Cocktail glass,,Gin,,,,,,,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,1 shot ,1 shot ,0.125 shot ,,,,,,
45,Adam Bomb,42403.64139,16333,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,,Rum,,,,,,,Vodka,Tequila,Triple sec,Ice,Salt,Fruit juice,Fruit,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",1 part , , , ,,,,1 part ,1 part ,0.5 part ,fill,fill,2 pint ,1 slice, ,
46,Adam Sunrise,42615.47815,15567,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,,Vodka,,,,,,,Lemonade,Water,Sugar,,,,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 0.5 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",0.5,,,,,,,0.5 can ,0.5,10 tsp , , , , , ,
47,Addington,42985.92737,17227,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Dry Vermouth,Soda Water,,,,,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,2 shots ,,,,,,,1 shot ,"Top up with
","
","
","
","
",,,
48,Addison,42985.94329,17228,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,,Gin,,,,,,,Vermouth,,,,,,,,Shake together all the ingredients and strain into a cold glass.,0.5 shot ,,,,,,,0.5 shot ,"
","
","
","
","
",,,
49,Addison Special,42849.927,14272,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned glass,,Vodka,,,,,,,Grenadine,Orange juice,,,,,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,1 shot ,,,,,,,1 tblsp ,Fill with , , , , , ,,
50,Adios Amigos Cocktail,42985.93858,17229,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,,Rum,,,,,,,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,0.5 shot ,0.5 shot ,0.5 shot ,0.25 shot,0.25 shot,0.5 shot ,,,
51,Adonis Cocktail,42615.47721,11007,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Sherry,Orange bitters,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",0.75 oz ,,,,,,,1.5 oz dry ,1 dash , , , , , ,,
52,Affair,42614.42053,11008,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,Highball glass,,Strawberry schnapps,,,,,,,Orange juice,Cranberry juice,Club soda,,,,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",2 oz ,,,,,,,2 oz ,2 oz ,fill,"
","
","
","
","
",
53,Affinity,42985.90561,11009,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,Cocktail glass,,Scotch,,,,,,,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,"In a mixing glass half-filled with ice count, combine all of the ingredients. Stir well. Strain into a cocktail glass.",0.5 oz ,,,,,,,1 oz ,1 oz ,2 dashes , , , , , ,
54,After Dinner Cocktail,42737.83771,11010,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Cocktail glass,,Apricot brandy,,,,,,,Triple sec,Lime,Lime,,,,,,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,1 oz ,,,,,,,1 oz ,1 count,1, , , , , ,
55,After Five,42849.92818,13807,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Shot glass,,Peppermint schnapps,,,,,,,Kahlua,Bailey's irish cream,,,,,,,"1. Pour Kahlua into shot glass to about 0.5 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 0.75 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled","
",,,,,,,"
","
","
","
","
","
",,,
56,After Supper Cocktail,42737.83808,11011,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Cocktail glass,,Triple sec,,,,,,,Apricot brandy,Lemon juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,0.5 tsp , , , , , ,,
57,After sex,42849.92942,15182,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Highball glass,,Vodka,,,,,,,Creme de Banane,Orange juice,,,,,,,Pour the vodka and creme over some ice count in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,2 cl ,,,,,,,1 cl ,"
","
","
","
","
","
",,
58,Afterglow,42569.9219,12560,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,,Grenadine,,,,,,,Orange juice,Pineapple juice,,,,,,,Mix. Serve over ice.,1 part ,,,,,,,4 parts ,4 parts , , , , , ,,
59,Afternoon,42613.8076,13162,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,,Kahlua,,,,,,,Bailey's irish cream,Frangelico,Coffee,Cream,,,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",1 cl ,"
",,,,,,1 cl ,1.5,4 cl hot ,"
","
","
","
","
",
60,Alabama Slammer,42737.83851,11012,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Highball glass,,Southern Comfort,,,,,,,Amaretto,Sloe gin,Lemon juice,,,,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",1 oz ,,,,,,,1 oz ,0.5 oz ,1 dash , , , , , ,
61,Alaska Cocktail,42737.83935,11013,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Cocktail glass,,Orange bitters,,,,,,,Gin,Yellow Chartreuse,Lemon peel,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",2 dashes ,,,,,,,0.5 oz ,0.75 oz ,Twist of , , , , , ,
62,Alexander,42678.41017,11014,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Creme de Cacao,Light cream,Nutmeg,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,0.5 oz ,,,,,,,0.5 oz white ,2 oz ,0.2 tsp,,,,,,
63,Alfie Cocktail,42737.84061,11019,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail glass,,Lemon vodka,,,,,,,Triple sec,Pineapple juice,,,,,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",0.5 oz ,,,,,,,1 dash ,1 tblsp , , , , , ,,
64,Algonquin,42737.84112,11020,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail glass,,Blended whiskey,,,,,,,Dry Vermouth,Pineapple juice,,,,,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",0.5 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
65,Alice Cocktail,42569.92296,12562,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Cocktail glass,,Grenadine,,,,,,,Orange juice,Pineapple juice,Cream,,,,,,"Shake well, strain into a large cocktail glass.",1 cl ,,,,,,,1 cl ,2 cl ,4 cl , , , , , ,
66,Alice in Wonderland,42849.9374,17094,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Collins Glass,,Amaretto,,,,,,,Grand Marnier,Southern Comfort,,,,,,,Just mix the three ingredients one to one to one,1 shot ,,,,,,,1 shot ,1 shot , , , , , ,,
67,Allegheny,42737.84183,11021,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Cocktail glass,,Dry Vermouth,,,,,,,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,1 oz , ,,,,,,1 oz ,0.5 tsp ,0.5 tsp ,1 twist of , , , , ,
68,Allies Cocktail,42737.8438,11022,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Cocktail glass,,Dry Vermouth,,,,,,,Gin,Kummel,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,0.5 tsp , , , , , ,,
69,Almeria,42737.84469,11023,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Cocktail glass,,Dark rum,,,,,,,Kahlua,Egg white,,,,,,,"In a shaker half-filled with ice count, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1, , , , , ,,
